Time,Local Time,electronphoresis,reservoir,pH_level
1720182250.299518,Fri Jul  5 14:24:10 2024,"21.061
","22.881
","7.531
"
1720182370.6264124,Fri Jul  5 14:26:10 2024,"19.934
","22.878
","7.540
"
1720182490.9432359,Fri Jul  5 14:28:10 2024,"17.831
","22.268
","7.550
"
1720182611.2596555,Fri Jul  5 14:30:11 2024,"18.183
","22.610
","7.574
"
1720182730.5961354,Fri Jul  5 14:32:10 2024,"19.275
","22.635
","7.586
"
1720182850.918305,Fri Jul  5 14:34:10 2024,"20.065
","22.663
","7.596
"
1720184345.5189307,Fri Jul  5 14:59:05 2024,"21.722
","20.766
","6.071
"
1720184447.324524,Fri Jul  5 15:00:47 2024,"21.732
","22.420
","6.473
"
1720184518.2276363,Fri Jul  5 15:01:58 2024,"21.746
","22.628
","6.743
"
1720185273.5378635,Fri Jul  5 15:14:33 2024,"21.747
","20.150
","6.522
"
1720185358.8499959,Fri Jul  5 15:15:58 2024,"21.869
","19.243
","6.383
"
1720185411.0695653,Fri Jul  5 15:16:51 2024,"21.864
","21.178
","6.439
"
1720185463.5522094,Fri Jul  5 15:17:43 2024,"21.871
","21.960
","6.431
"
1720185560.2336805,Fri Jul  5 15:19:20 2024,"21.883
","21.473
","6.427
"
1720186306.615562,Fri Jul  5 15:31:46 2024,"22.185
","21.456
","7.132
"
1720186373.71078,Fri Jul  5 15:32:53 2024,"22.190
","21.449
","7.113
"
1720186426.61329,Fri Jul  5 15:33:46 2024,"22.196
","21.439
","7.113
"
1720186473.113562,Fri Jul  5 15:34:33 2024,"22.202
","21.438
","7.104
"
1720186521.9692147,Fri Jul  5 15:35:21 2024,"22.211
","21.432
","7.119
"
1720186568.037317,Fri Jul  5 15:36:08 2024,"22.216
","21.436
","7.110
"
1720186686.50224,Fri Jul  5 15:38:06 2024,"22.225
","21.421
","7.101
"
1720186810.2912488,Fri Jul  5 15:40:10 2024,"22.239
","21.603
","7.089
"
1720186930.6123188,Fri Jul  5 15:42:10 2024,"22.252
","21.622
","7.111
"
1720187050.9763417,Fri Jul  5 15:44:10 2024,"22.270
","21.652
","7.085
"
1720187110.2915676,Fri Jul  5 15:45:10 2024,"22.287
","21.815
","7.097
"
1720187170.6165307,Fri Jul  5 15:46:10 2024,"22.301
","22.091
","7.156
"
1720187230.9501636,Fri Jul  5 15:47:10 2024,"22.316
","22.632
","7.197
"
1720187290.285445,Fri Jul  5 15:48:10 2024,"22.329
","23.261
","7.240
"
1720187350.608956,Fri Jul  5 15:49:10 2024,"22.350
","24.098
","7.297
"
